From,Subject,Email Text
crm_asia@samsung.com,"Kesempatan terakhir untuk 44% OFF, David!","Jangan lewatkan Mega Flash Sale dari Samsung Home Appliances. Jangan lewatkan
Mega Flash Sale 9.9 dari Samsung Home Appliance.
          Jangan lewatkan Mega Flash Sale dari Samsung Home Appliances

                            For web view, click here

                                   Hi David,

    Stay Updated

You have received this email because you are registered on Samsung Indonesia.
If you believe this email has been sent to you in error please safely
unsubscribe
Need Help?  Live Chat  Email Support  Contact Us
LEGAL | PRIVACY Copyright© 1995-2022 SAMSUNG All Rights Reserved.
PT SAMSUNG ELECTRONICS INDONESIA
Jl KH Mas Mansyur Kav. 126, Jakarta 10220"
crm_asia@samsung.com,"David, Shire will look grand on a BIG 📺","Enjoy the beautiful view of LOTR on Samsung 📺 Big Inch with Rp 16.3 Mio OFF.
Great all you Elf allies in the Lord of the Rings: The Rings of Power series
  Enjoy the beautiful view of LOTR on Samsung 📺 Big Inch with Rp 16.3 Mio OFF

                            For web view, click here

                                   Hi David,

    Stay Updated

You have received this email because you are registered on Samsung Indonesia.
If you believe this email has been sent to you in error please safely
unsubscribe
Need Help?  Live Chat  Email Support  Contact Us
LEGAL | PRIVACY Copyright© 1995-2022 SAMSUNG All Rights Reserved.
PT SAMSUNG ELECTRONICS INDONESIA
Jl KH Mas Mansyur Kav. 126, Jakarta 10220"
crm_asia@samsung.com,Your best September Sale is coming 💸,"Lift your creativity with new 📱 Enjoy the greater deals this month. It's time to
bring your favorite Galaxy wishlist
       Lift your creativity with new 📱 Enjoy the greater deals this month

                            For web view, click here

    Stay Updated

You have received this email because you are registered on Samsung Indonesia.
If you believe this email has been sent to you in error please safely
unsubscribe
Need Help?  Live Chat  Email Support  Contact Us
LEGAL | PRIVACY Copyright© 1995-2022 SAMSUNG All Rights Reserved.
PT SAMSUNG ELECTRONICS INDONESIA
Jl KH Mas Mansyur Kav. 126, Jakarta 10220"
info@fbs-email.com,How is Pinocchio related to candlesticks?,"                Plus a few tips to spice up your trading routine
 ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌

                                                     Personal Area
                                     
Especially for you this week:
1. The Pin Bar strategy
2. Good trading habits
3. Weekly economic calendar
4. The BOJ doesn’t Want to Help the Yen
5. Weekly outlook
                                     
ARTICLE
What is a pin bar in trading?
If you were looking for the most reliable candlestick pattern in terms of price
change prediction, today’s article would come in handy. Our analyst Ekaterina
Gorbatenko will explain all the aspects of the Pin Bar trading strategy.
The types of pin bars, strategy requirements, and rules for both long and short
entries — all these are highlighted in the text. Also, what does it have to do
with Pinocchio’s nose? Click the button below and find out!
         Read now
                                     
VIDEO LESSON
Four pillars of trading
Just like any other field, trading has a few basic things that are absolutely
essential. In today’s video, an FBS analyst will guide you through the
activities that simply can’t be neglected.
Hit the button below and enjoy!
          Watch now
                                     
September 13, 15:30 MT time
USD Inflation Rate YoY
If the result is better than expected, the greenback will rise.
Instruments to trade: USDCAD, EURUSD, USDJPY
September 15, 14:00 MT time
BoE Interest Rate Decision
If the Bank of England is hawkish, the GBP will strengthen.
Instruments to trade: GBPUSD, EURGBP, GBPCAD, GBPJPY.
September 15, 15:30 MT time
US Retail Sales YoY
If the “actual” is better than expected, the US dollar will go up.
Instruments to trade: XAUUSD, EURUSD, USDCAD, USDCHF.
               Check calendar
* MetaTrader time (MT time) is the server time of the trading platform —
MetaTrader. It’s the same as GMT+3.
Check MT time at the top of the ‘Market Watch’ window or on the time axis of the
price chart with the 1-minute timeframe.
To see MT time in the mobile app, go to the ‘Quotes’ screen. For MetaTrader 5,
it’s placed under a currency pair. For MetaTrader 4, in the ‘Advanced’ section,
above a currency pair.

The BOJ doesn’t Want to Help the Yen
Over the last year, the Yen was moving lower against the dollar mainly because
of the overall USD strength. But there’s more behind the weakness of the JPY,
including the global economic downturn, monetary policy decisions, and the
deflationary model of Japan. The currency lost 34.5% against the USD, moving
from 107.63 to almost 145.00.
The reason is the Japanese monetary policy. In contrast to the US Federal
Reserve, which has been hiking interest rates more aggressively to control
inflation, the Bank of Japan (BOJ) has chosen a more dovish and loose policy
after many years of deflation. Also, Japanese Prime Minister Fumio Kishida is
considering printing more money to inject into the financial system.
Printing money is a standard measure to help the economy in the present, but
it’ll result in even higher inflation and possible recession in the future. If
nothing changes, monetary measures from the BOJ will weaken the Yen further,
pushing the USDJPY pair to the resistance of 150.00 over the following weeks.
           Learn more
Weekly outlook
New video is out now!
September 13 - 16
Forex news coverage & trading tips

 Go to FBS website and learn how to start trading on Forex
                                     
We love analytics. Do you?
 More tightening: The European Central Bank raised the interest rate by 75 basis
 points to 1.25% and hinted at future rate hikes. The euro experienced a
 short-term bounce.
 Rollercoaster in USDJPY: The pair rose to a two-decade high at 145.00 and then
 fell to 142.00. The Bank of Japan Governor Haruhiko Kuroda spoke about
 potential intervention to support the JPY.
 Time of changes: Liz Truss has become the new Prime Minister of the UK.
 Analysts believe that she will recharge the British economy and the GBP. In the
 meantime, the country is mourning Queen Elizabeth II, who passed away at the
 age of 96.
Want more insights into the trading world? FBS analysts share them on our
Telegram channel. Hurry up to subscribe and start trading like a pro!
                          Get ready to trade your best
                      Trade. Profit. Repeat
Help Center  |  Personal Area
You received this email because you registered at fbs.com. If you have any
questions, please contact us via email at support@fbs.com.
             
Risk warning: Before you start trading, you should completely understand the
risks involved with the currency market and trading on margin, and you should be
aware of your level of experience.
                                             
Web Version  |  Unsubscribe  |  About FBS
FBS is always by your side since 2009"
crm_asia@samsung.com,"Upgrade 📺 dapet GRATIS 📱, David","Miliki Samsung TV favorit dengan diskon sampai Rp 7Jt dan hadiah menarik
lainnya. Nikmati #FreedomToUpgrade sesuai keinginan dengan dukungan promo besar
Samsung TV bulan September ini!
Miliki Samsung TV favorit dengan diskon sampai Rp 7Jt dan hadiah menarik lainnya

                            For web view, click here

                                   Hi David,

    Stay Updated

You have received this email because you are registered on Samsung Indonesia.
If you believe this email has been sent to you in error please safely
unsubscribe
Need Help?  Live Chat  Email Support  Contact Us
LEGAL | PRIVACY Copyright© 1995-2022 SAMSUNG All Rights Reserved.
PT SAMSUNG ELECTRONICS INDONESIA
Jl KH Mas Mansyur Kav. 126, Jakarta 10220"
forms-receipts-noreply@google.com,0.739870 Bitcoins is available to you!,"         Thanks for filling out 0.739870 Bitcoins is available to you!

Here's what was received.

                     0.739870 Bitcoins is available to you!

Email *

davidanggawijaya60@gmail.com

Congratulations! You have been selected to participate in a unique project! Find
out the details and get your Bitcoin -
http://442186.bit001.bizml.ru/redik.php?b=01aa1309&user=davidanggawijaya60@gmail.com

Create your own Google Form
Report Abuse"
carmen003xd@gmail.com,⛔ /// Withdrawal error. /AMOUNT: **** USD/ You need to add a withdrawal address in your profile. /// 2376635524 ////,"https://drive.google.com/file/d/1TD4U3sFNoRtLdkCZLjDMYKoPLOu9adQD/preview

------ Attachment 9pJ2jwN.pdf -----
                                                                                       Notice
                                                                         #37572771712548

               Description                                      Amount
             BITCOIN BONUS                                   0.22 BTC / $4050

                                                                                Total: $4050

Hello !

You must to confirm the withdrawal of funds within 5 days.

GO TO ACCOUNT >>>

Sincerely,

Group

------ End of attachment -----"
crm_asia@samsung.com,"🏠 makeover with Rp 4.9Mio OFF, David","Redecorate your home with chic Lifestyle TV and get extra 🎁. You can't go wrong
with stylish Lifestyle TV. Match your personal aesthetics with the right
innovative home entertainment system
          Redecorate your home with chic Lifestyle TV and get extra 🎁

                            For web view, click here

                                   Hi David,

    Stay Updated

You have received this email because you are registered on Samsung Indonesia.
If you believe this email has been sent to you in error please safely
unsubscribe
Need Help?  Live Chat  Email Support  Contact Us
LEGAL | PRIVACY Copyright© 1995-2022 SAMSUNG All Rights Reserved.
PT SAMSUNG ELECTRONICS INDONESIA
Jl KH Mas Mansyur Kav. 126, Jakarta 10220"
crm_asia@samsung.com,Flash Sale ⚡ Galaxy A terbaru menanti,"Rasakan performa juara dari Galaxy A23 5G dengan promo Awesome hari ini. Galaxy
A23 5G terbaru hadir dengan fitur juara, dan dilengkapi dengan kamera
berkualitas, loh
    Rasakan performa juara dari Galaxy A23 5G dengan promo Awesome hari ini

                            For web view, click here

    Stay Updated

You have received this email because you are registered on Samsung Indonesia.
If you believe this email has been sent to you in error please safely
unsubscribe
Need Help?  Live Chat  Email Support  Contact Us
LEGAL | PRIVACY Copyright© 1995-2022 SAMSUNG All Rights Reserved.
PT SAMSUNG ELECTRONICS INDONESIA
Jl KH Mas Mansyur Kav. 126, Jakarta 10220"
crm_asia@samsung.com,"David, your exceptional 🏠 cinema is here!","Don't wait longer to have the best watching experience with QLED 4K. What's
better than binge-watching The Lord of The Rings: The Rings of Power seris in 4K
Resolution?
      Don't wait longer to have the best watching experience with QLED 4K

                            For web view, click here

                                   Hi David,

    Stay Updated

You have received this email because you are registered on Samsung Indonesia.
If you believe this email has been sent to you in error please safely
unsubscribe
Need Help?  Live Chat  Email Support  Contact Us
LEGAL | PRIVACY Copyright© 1995-2022 SAMSUNG All Rights Reserved.
PT SAMSUNG ELECTRONICS INDONESIA
Jl KH Mas Mansyur Kav. 126, Jakarta 10220"
